Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t)
Public Services and Procurement Canada,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1543.325151,109.5637629
Public Services and Procurement Canada,FY 2005-06,fleet,1,fuels with renewable content,408.0366626,25.21463621
Public Services and Procurement Canada,FY 2005-06,fleet,1,liquified petroleum gas,64.0304206,3.896823341
Public Services and Procurement Canada,FY 2005-06,fleet,1,natural gas,0.041352443,0.002343125
Public Services and Procurement Canada,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",79986.6496,5693.935681
Public Services and Procurement Canada,FY 2010-11,facilities,1,Liquified petroleum gas,4662.465958,284.4270027
Public Services and Procurement Canada,FY 2010-11,facilities,1,natural gas,1004604.676,50072.68996
Public Services and Procurement Canada,FY 2010-11,facilities,2,district energy,1015560.79,70973.32728
Public Services and Procurement Canada,FY 2010-11,facilities,2,electricity,3180126.434,91503.9979
Public Services and Procurement Canada,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4434.112794,316.6233218
Public Services and Procurement Canada,FY 2010-11,fleet,1,Fuels with renewable content,1699.380803,104.0006371
Public Services and Procurement Canada,FY 2010-11,fleet,1,Gasoline,12746.37525,816.9804658
Public Services and Procurement Canada,FY 2010-11,fleet,1,Natural gas,0.0010678,0.0000609
Public Services and Procurement Canada,FY 2011-12,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",71301.67169,5075.649928
Public Services and Procurement Canada,FY 2011-12,facilities,1,Liquified petroleum gas,8563.68912,522.415488
Public Services and Procurement Canada,FY 2011-12,facilities,1,natural gas,909361.5629,45325.47047
Public Services and Procurement Canada,FY 2011-12,facilities,2,district energy,937061.4273,65388.52713
Public Services and Procurement Canada,FY 2011-12,facilities,2,electricity,3093277.626,70398.50889
Public Services and Procurement Canada,FY 2011-12,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3485.11999,248.7994927
Public Services and Procurement Canada,FY 2011-12,fleet,1,Fuels with renewable content,2006.638694,122.5879136
Public Services and Procurement Canada,FY 2011-12,fleet,1,Gasoline,12316.48635,789.4851485
Public Services and Procurement Canada,FY 2012-13,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",69987.34995,4993.908327
Public Services and Procurement Canada,FY 2012-13,facilities,1,Liquified petroleum gas,9683.393132,590.7214143
Public Services and Procurement Canada,FY 2012-13,facilities,1,natural gas,1006242.327,50154.31565
Public Services and Procurement Canada,FY 2012-13,facilities,2,district energy,928906.1456,65216.77881
Public Services and Procurement Canada,FY 2012-13,facilities,2,electricity,3131475.101,76614.29987
Public Services and Procurement Canada,FY 2012-13,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3791.06422,270.5962366
Public Services and Procurement Canada,FY 2012-13,fleet,1,Fuels with renewable content,1677.170444,73.86351554
Public Services and Procurement Canada,FY 2012-13,fleet,1,Gasoline,10387.3014,665.1048351
Public Services and Procurement Canada,FY 2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",70938.48052,5049.795959
Public Services and Procurement Canada,FY 2013-14,facilities,1,Liquified petroleum gas,10222.60964,623.6155389
Public Services and Procurement Canada,FY 2013-14,facilities,1,natural gas,1215554.745,60587.11186
Public Services and Procurement Canada,FY 2013-14,facilities,2,district energy,874037.1204,62507.68902
Public Services and Procurement Canada,FY 2013-14,facilities,2,electricity,3176501.937,58115.50451
Public Services and Procurement Canada,FY 2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4797.332759,341.8820582
Public Services and Procurement Canada,FY 2013-14,fleet,1,Fuels with renewable content,2185.080593,133.5186265
Public Services and Procurement Canada,FY 2013-14,fleet,1,Gasoline,9287.9171,594.9200029
Public Services and Procurement Canada,FY 2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",71033.3931,5056.552364
Public Services and Procurement Canada,FY 2014-15,facilities,1,Liquified petroleum gas,9793.935999,597.4649223
Public Services and Procurement Canada,FY 2014-15,facilities,1,natural gas,1258692.587,62737.23899
Public Services and Procurement Canada,FY 2014-15,facilities,2,district energy,855759.9299,61626.49561
Public Services and Procurement Canada,FY 2014-15,facilities,2,electricity,3072688.883,44241.83765
Public Services and Procurement Canada,FY 2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1859.73832,132.1780159
Public Services and Procurement Canada,FY 2014-15,fleet,1,Fuels with renewable content,1424.43616,19.5642828
Public Services and Procurement Canada,FY 2014-15,fleet,1,Gasoline,11668.755,747.813403
Public Services and Procurement Canada,FY 2014-15,fleet,1,Liquified petroleum gas,0.02531,0.00154034
Public Services and Procurement Canada,FY 2015-16,facilities,1,district energy,798450.05,55860.26
Public Services and Procurement Canada,FY 2015-16,facilities,1,electricity,2896507,69370.08
Public Services and Procurement Canada,FY 2015-16,facilities,1,natural gas,1031403.96,51300.62
Public Services and Procurement Canada,FY 2015-16,facilities,2,"fuel oil (1,2,4,5,6, diesel, kerosene)",62915.77,4434.92
Public Services and Procurement Canada,FY 2015-16,facilities,2,liquified petroleum gas,9705,592.05
Public Services and Procurement Canada,FY 2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3359.9441,240.2451268
Public Services and Procurement Canada,FY 2015-16,fleet,1,Gasoline,10932.53,700.618994
Public Services and Procurement Canada,FY 2016-17,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",63064.96427,4489.31524
Public Services and Procurement Canada,FY 2016-17,facilities,1,Liquified petroleum gas,9416.595763,574.4458261
Public Services and Procurement Canada,FY 2016-17,facilities,1,natural gas,1072775.296,53470.53029
Public Services and Procurement Canada,FY 2016-17,facilities,2,district energy,815928.2897,56953.29473
Public Services and Procurement Canada,FY 2016-17,facilities,2,electricity,2899654.445,41426.49214
Public Services and Procurement Canada,FY 2016-17,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3099.6573,221.6339138
Public Services and Procurement Canada,FY 2016-17,fleet,1,Gasoline,10243.03,656.431894
Public Services and Procurement Canada,FY 2017-18,fleet,1,fuels with renewable content,46.11481786,0.648267461
Public Services and Procurement Canada,FY 2017-18,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",810.726773,56.92052351
Public Services and Procurement Canada,FY 2017-18,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2247.136932,160.6764851
Public Services and Procurement Canada,FY 2017-18,facilities,1,liquified petroleum gas,8489.783346,518.0049522
Public Services and Procurement Canada,FY 2017-18,fleet,1,gasoline,10344.21596,684.7131681
Public Services and Procurement Canada,FY 2017-18,facilities,2,district heating,44989.54749,4555.641376
Public Services and Procurement Canada,FY 2017-18,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",57911.06397,4122.347065
Public Services and Procurement Canada,FY 2017-18,facilities,2,district cooling,309446.9422,1240.526986
Public Services and Procurement Canada,FY 2017-18,facilities,2,district heating,482084.4895,39474.04201
Public Services and Procurement Canada,FY 2017-18,facilities,1,natural gas,1007764.623,50070.03489
Public Services and Procurement Canada,FY 2017-18,facilities,2,electricity,2658905.585,19719.02349
Public Services and Procurement Canada,FY 2018-19,fleet,1,fuels with renewable content,8.415572781,0.118303491
Public Services and Procurement Canada,FY 2018-19,fleet,1,fuels with renewable content,18.68055959,1.150873858
Public Services and Procurement Canada,FY 2018-19,fleet,1,fuels with renewable content,82.16056108,4.859713584
Public Services and Procurement Canada,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1079.09128,75.76215804
Public Services and Procurement Canada,FY 2018-19,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2392.726942,171.0865426
Public Services and Procurement Canada,FY 2018-19,facilities,1,liquified petroleum gas,8709.285358,531.3977928
Public Services and Procurement Canada,FY 2018-19,fleet,1,gasoline,9661.036252,639.491703
Public Services and Procurement Canada,FY 2018-19,facilities,2,district heating,55965.19025,5667.035076
Public Services and Procurement Canada,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",62466.15692,4446.597419
Public Services and Procurement Canada,FY 2018-19,facilities,2,district cooling,349061.3263,1395.500328
Public Services and Procurement Canada,FY 2018-19,facilities,2,district heating,525007.6099,42993.30438
Public Services and Procurement Canada,FY 2018-19,facilities,1,natural gas,1082558.211,53784.59147
Public Services and Procurement Canada,FY 2018-19,facilities,2,electricity,2715162.781,21798.3872
Public Services and Procurement Canada,FY 2019-20,fleet,1,fuels with renewable content,19.6557389,1.210952204
Public Services and Procurement Canada,FY 2019-20,fleet,1,fuels with renewable content,53.26554573,3.647580564
Public Services and Procurement Canada,FY 2019-20,fleet,1,fuels with renewable content,98.1043455,1.379119643
Public Services and Procurement Canada,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",725.9766278,50.97025731
Public Services and Procurement Canada,FY 2019-20,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2095.411709,149.8276508
Public Services and Procurement Canada,FY 2019-20,facilities,1,liquified petroleum gas,7110.243284,433.8321801
Public Services and Procurement Canada,FY 2019-20,fleet,1,gasoline,9033.898079,597.97964
Public Services and Procurement Canada,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",39793.16051,2832.640249
Public Services and Procurement Canada,FY 2019-20,facilities,2,district heating,53433.33655,5410.659142
Public Services and Procurement Canada,FY 2019-20,facilities,2,district cooling,301895.0924,1216.644162
Public Services and Procurement Canada,FY 2019-20,facilities,2,district heating,461522.5832,37802.9226
Public Services and Procurement Canada,FY 2019-20,facilities,1,natural gas,970639.1296,48225.7859
Public Services and Procurement Canada,FY 2019-20,facilities,2,electricity,2624579.326,20081.84615
Public Services and Procurement Canada,FY 2020-21,facilities,2,electricity,2521115.713,19614.8669
Public Services and Procurement Canada,FY 2020-21,facilities,1,natural gas,930552.2003,46244.08517
Public Services and Procurement Canada,FY 2020-21,facilities,2,district heating,509510.8914,41561.28615
Public Services and Procurement Canada,FY 2020-21,facilities,2,district cooling,325689.1409,910.2982668
Public Services and Procurement Canada,FY 2020-21,facilities,2,district heating,58775.50191,5583.67353
Public Services and Procurement Canada,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",45818.60488,3261.556019
Public Services and Procurement Canada,FY 2020-21,facilities,1,liquified petroleum gas,7778.306798,474.5941754
Public Services and Procurement Canada,FY 2020-21,fleet,1,gasoline,6427.464463,425.4522229
Public Services and Procurement Canada,FY 2020-21,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1862.111292,133.1460586
Public Services and Procurement Canada,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",234.7177029,16.47935393
Public Services and Procurement Canada,FY 2020-21,fleet,1,fuels with renewable content,56.13757515,0.789164536
Public Services and Procurement Canada,FY 2020-21,fleet,1,fuels with renewable content,27.96496822,1.722868632
Public Services and Procurement Canada,FY 2020-21,fleet,1,fuels with renewable content,13.97199011,0.956790463
Royal Canadian Mounted Police,FY 2005-06,facilities,1,natural gas,879712.8312,43961.08945
Royal Canadian Mounted Police,FY 2005-06,facilities,2,electricity,475040.3996,46413.0762
Royal Canadian Mounted Police,FY 2005-06,fleet,1,gasoline,155498.1313,10292.86368
Royal Canadian Mounted Police,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",76313.0907,5357.884834
Royal Canadian Mounted Police,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",44536.21382,3170.270118
Royal Canadian Mounted Police,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",28687.73145,2142.841934
Royal Canadian Mounted Police,FY 2005-06,facilities,1,liquified petroleum gas,25178.76256,1536.284442
Royal Canadian Mounted Police,FY 2005-06,fleet,1,fuels with renewable content,2906.824165,179.0838909
Royal Canadian Mounted Police,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1083.950932,77.50545073
Royal Canadian Mounted Police,FY 2005-06,fleet,1,liquified petroleum gas,29.6224196,1.802788727
Royal Canadian Mounted Police,FY 2005-06,fleet,1,fuels with renewable content,28.60297263,0.402091642
Royal Canadian Mounted Police,FY 2005-06,fleet,1,natural gas,0.116658329,0.006610134
Royal Canadian Mounted Police,FY 2017-18,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",683.97672,48.90619275
Royal Canadian Mounted Police,FY 2017-18,fleet,1,fuels with renewable content,9.12135,0.53957673
Royal Canadian Mounted Police,FY 2017-18,fleet,1,fuels with renewable content,64.036831,0.90020958
Royal Canadian Mounted Police,FY 2017-18,fleet,1,gasoline,16006.4275,1059.511169
Royal Canadian Mounted Police,FY 2018-19,fleet,1,natural gas,0.002326196,0.000131808
Royal Canadian Mounted Police,FY 2018-19,fleet,1,fuels with renewable content,177.0516138,12.12436056
Royal Canadian Mounted Police,FY 2018-19,fleet,1,fuels with renewable content,243.0718203,14.97519082
Royal Canadian Mounted Police,FY 2018-19,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3470.674637,248.1626697
Royal Canadian Mounted Police,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",16893.72905,1202.565162
Royal Canadian Mounted Police,FY 2018-19,facilities,1,liquified petroleum gas,26658.2695,1626.557267
Royal Canadian Mounted Police,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",32966.77661,2462.468658
Royal Canadian Mounted Police,FY 2018-19,fleet,1,gasoline,36864.04883,2440.135773
Royal Canadian Mounted Police,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",42982.78503,3017.788406
Royal Canadian Mounted Police,FY 2018-19,facilities,2,electricity,495614.8553,38570.40005
Royal Canadian Mounted Police,FY 2018-19,facilities,1,natural gas,783947.9729,39284.68687
Royal Canadian Mounted Police,FY 2019-20,fleet,1,fuels with renewable content,155.8399782,10.67179978
Royal Canadian Mounted Police,FY 2019-20,fleet,1,fuels with renewable content,749.7890682,46.1930716
Royal Canadian Mounted Police,FY 2019-20,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3071.488258,219.619679
Royal Canadian Mounted Police,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",21168.57092,1506.865928
Royal Canadian Mounted Police,FY 2019-20,facilities,1,liquified petroleum gas,28150.72819,1717.619849
Royal Canadian Mounted Police,FY 2019-20,fleet,1,gasoline,31979.83752,2116.836823
Royal Canadian Mounted Police,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",35878.24194,2679.942169
Royal Canadian Mounted Police,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",52898.90058,3713.991974
Royal Canadian Mounted Police,FY 2019-20,facilities,2,electricity,464987.4991,41471.76829
Royal Canadian Mounted Police,FY 2019-20,facilities,1,natural gas,555319.0142,27693.15721
Royal Canadian Mounted Police,FY 2020-21,facilities,2,electricity,420913.9676,35305.99788
Royal Canadian Mounted Police,FY 2020-21,facilities,1,natural gas,339562.6377,16628.40096
Royal Canadian Mounted Police,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",51370.43483,3606.680472
Royal Canadian Mounted Police,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",32755.92878,2446.720097
Royal Canadian Mounted Police,FY 2020-21,fleet,1,gasoline,18068.79797,1196.025471
Royal Canadian Mounted Police,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",14266.64442,1015.55783
Royal Canadian Mounted Police,FY 2020-21,facilities,1,liquified petroleum gas,12071.93431,736.5703384
Royal Canadian Mounted Police,FY 2020-21,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2929.985432,209.5018233
Royal Canadian Mounted Police,FY 2020-21,fleet,1,fuels with renewable content,564.0058622,34.74734342
Royal Canadian Mounted Police,FY 2020-21,fleet,1,fuels with renewable content,233.605608,15.99712396
Shared Services Canada,FY 2018-19,fleet,1,gasoline,10220.00262,676.4911118
Shared Services Canada,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",239.9494534,16.84667659
Shared Services Canada,FY 2019-20,facilities,1,natural gas,2315.495438,114.8857899
Shared Services Canada,FY 2019-20,fleet,1,gasoline,10207.53436,675.6659317
Shared Services Canada,FY 2019-20,facilities,2,electricity,22911.82996,184.5675716
Shared Services Canada,FY 2020-21,facilities,2,electricity,51058.53625,425.4877491
Shared Services Canada,FY 2020-21,facilities,1,natural gas,4757.290619,236.0381212
Shared Services Canada,FY 2020-21,fleet,1,gasoline,3771.987335,249.6785965
Shared Services Canada,FY 2020-21,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",7.997041285,0.57181029
Transport Canada,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",574779.7535,40585.34724
Transport Canada,FY 2005-06,fleet,1,aviation fuel,194238.1631,13395.9679
Transport Canada,FY 2005-06,facilities,2,electricity,116644.8891,3246.013786
Transport Canada,FY 2005-06,fleet,1,gasoline,26505.22604,1757.166108
Transport Canada,FY 2005-06,facilities,1,natural gas,22045.10042,1098.960456
Transport Canada,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",14348.1195,1021.358152
Transport Canada,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",9282.349971,651.7065806
Transport Canada,FY 2005-06,facilities,1,liquified petroleum gas,5147.167208,314.0549684
Transport Canada,FY 2005-06,fleet,1,aviation fuel,2472.183365,180.5424156
Transport Canada,FY 2005-06,fleet,1,liquified petroleum gas,2032.823227,123.7154493
Transport Canada,FY 2005-06,fleet,1,fuels with renewable content,94.2544632,1.324998707
Transport Canada,FY 2005-06,fleet,1,natural gas,0.040096256,0.002271946
Transport Canada,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",21241.4471,1520.833534
Transport Canada,FY 2010-11,facilities,1,Liquified petroleum gas,2476.63412,151.083488
Transport Canada,FY 2010-11,facilities,1,natural gas,2554.4289,127.320855
Transport Canada,FY 2010-11,facilities,2,electricity,55260.4248,255.8242574
Transport Canada,FY 2010-11,fleet,1,aviation fuel,152874.6709,10547.50791
Transport Canada,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",553626.4537,39095.47589
Transport Canada,FY 2010-11,fleet,1,Fuels with renewable content,2686.654623,162.6550235
Transport Canada,FY 2010-11,fleet,1,Gasoline,22231.01055,1424.76211
Transport Canada,FY 2010-11,fleet,1,Liquified petroleum gas,1887.6198,114.8785572
Transport Canada,FY 2011-12,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",16695.02476,1198.273414
Transport Canada,FY 2011-12,facilities,1,Liquified petroleum gas,3059.718307,186.6536968
Transport Canada,FY 2011-12,facilities,1,natural gas,2997.90056,149.424892
Transport Canada,FY 2011-12,facilities,2,electricity,56146.20538,242.7666239
Transport Canada,FY 2011-12,fleet,1,aviation fuel,87143.40032,6010.836566
Transport Canada,FY 2011-12,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",570732.8495,40304.99616
Transport Canada,FY 2011-12,fleet,1,Fuels with renewable content,3065.106225,187.1118304
Transport Canada,FY 2011-12,fleet,1,Gasoline,18741.7685,1201.148177
Transport Canada,FY 2011-12,fleet,1,Liquified petroleum gas,2032.82327,123.7154878
Transport Canada,FY 2012-13,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",19504.5157,1402.233284
Transport Canada,FY 2012-13,facilities,1,Liquified petroleum gas,2620.36961,159.851864
Transport Canada,FY 2012-13,facilities,1,natural gas,2854.9612,142.30034
Transport Canada,FY 2012-13,facilities,2,electricity,52359.69031,257.8346098
Transport Canada,FY 2012-13,fleet,1,aviation fuel,95944.1648,6617.651284
Transport Canada,FY 2012-13,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",548485.6567,38732.1363
Transport Canada,FY 2012-13,fleet,1,Fuels with renewable content,2855.681978,173.967571
Transport Canada,FY 2012-13,fleet,1,Gasoline,15204.85995,974.4828665
Transport Canada,FY 2012-13,fleet,1,Liquified petroleum gas,1887.6198,114.8785572
Transport Canada,FY 2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",18763.53717,1355.432876
Transport Canada,FY 2013-14,facilities,1,Liquified petroleum gas,2815.497055,171.755332
Transport Canada,FY 2013-14,facilities,1,natural gas,3278.947042,163.4331419
Transport Canada,FY 2013-14,facilities,2,electricity,52152.7932,249.8061046
Transport Canada,FY 2013-14,fleet,1,aviation fuel,138026.0464,9520.20631
Transport Canada,FY 2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",542509.4297,38310.70731
Transport Canada,FY 2013-14,fleet,1,Fuels with renewable content,3142.641989,192.054947
Transport Canada,FY 2013-14,fleet,1,Gasoline,15024.38462,962.9377599
Transport Canada,FY 2013-14,fleet,1,Liquified petroleum gas,1887.61209,114.878088
Transport Canada,FY 2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",24579.90934,1770.630498
Transport Canada,FY 2014-15,facilities,1,Liquified petroleum gas,3199.953424,195.2085376
Transport Canada,FY 2014-15,facilities,1,natural gas,2616.934262,130.4363209
Transport Canada,FY 2014-15,facilities,2,electricity,49834.50372,222.697866
Transport Canada,FY 2014-15,fleet,1,aviation fuel,122033.055,8417.10598
Transport Canada,FY 2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",556205.1164,39276.40555
Transport Canada,FY 2014-15,fleet,1,Fuels with renewable content,3069.844081,187.6785219
Transport Canada,FY 2014-15,fleet,1,Gasoline,14544.28395,932.1726137
Transport Canada,FY 2014-15,fleet,1,Liquified petroleum gas,1887.6198,114.8785572
Transport Canada,FY 2015-16,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",26232.98224,1896.706558
Transport Canada,FY 2015-16,facilities,1,Liquified petroleum gas,2732.3084,166.6805282
Transport Canada,FY 2015-16,facilities,1,natural gas,3055.846682,152.3131109
Transport Canada,FY 2015-16,facilities,2,electricity,52204.926,235.6075613
Transport Canada,FY 2015-16,fleet,1,aviation fuel,53304.2752,3676.608222
Transport Canada,FY 2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",522954.7915,36962.90805
Transport Canada,FY 2015-16,fleet,1,Fuels with renewable content,3142.641989,192.054947
Transport Canada,FY 2015-16,fleet,1,Gasoline,14242.66025,912.7510554
Transport Canada,FY 2016-17,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",28628.61666,2066.9513
Transport Canada,FY 2016-17,facilities,1,Liquified petroleum gas,2941.30041,179.429784
Transport Canada,FY 2016-17,facilities,1,natural gas,3956.823693,197.2206687
Transport Canada,FY 2016-17,facilities,2,electricity,54750.8856,144.4480684
Transport Canada,FY 2016-17,fleet,1,aviation fuel,56735.1268,3913.247726
Transport Canada,FY 2016-17,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",651656.311,46023.38265
Transport Canada,FY 2016-17,fleet,1,Fuels with renewable content,5873.081895,354.7513078
Transport Canada,FY 2016-17,fleet,1,Gasoline,25784.40024,1652.512455
Transport Canada,FY 2017-18,fleet,1,fuels with renewable content,1888.765793,26.55168629
Transport Canada,FY 2017-18,facilities,1,liquified petroleum gas,2928.252717,178.6676788
Transport Canada,FY 2017-18,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",8717.079529,612.0195955
Transport Canada,FY 2017-18,facilities,1,natural gas,18150.42024,903.9176925
Transport Canada,FY 2017-18,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",18251.89135,1299.244295
Transport Canada,FY 2017-18,fleet,1,gasoline,20377.67632,1349.490307
Transport Canada,FY 2017-18,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",22768.08542,1604.440819
Transport Canada,FY 2017-18,facilities,2,electricity,88921.54194,675.0020967
Transport Canada,FY 2017-18,fleet,1,aviation fuel,132522.0303,9834.583099
Transport Canada,FY 2017-18,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",553546.4805,39655.97266
Transport Canada,FY 2018-19,fleet,1,liquified petroleum gas,32.91564755,2.003212346
Transport Canada,FY 2018-19,fleet,1,fuels with renewable content,228.9616231,15.67910689
Transport Canada,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1478.296127,110.4219637
Transport Canada,FY 2018-19,facilities,1,liquified petroleum gas,3410.313989,208.0806947
Transport Canada,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",5345.515855,375.3046353
Transport Canada,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",22404.43636,1594.839755
Transport Canada,FY 2018-19,facilities,1,natural gas,27007.14051,1345.565148
Transport Canada,FY 2018-19,facilities,2,electricity,88324.53164,1292.035135
Transport Canada,FY 2018-19,fleet,1,gasoline,125350.0038,8339.366593
Transport Canada,FY 2018-19,fleet,1,aviation fuel,142352.4005,9818.612167
Transport Canada,FY 2018-19,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",428815.5761,30297.25015
Transport Canada,FY 2019-20,fleet,1,liquified petroleum gas,17.33735633,1.055132613
Transport Canada,FY 2019-20,fleet,1,fuels with renewable content,151.8093753,2.13408903
Transport Canada,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1240.489647,92.6589632
Transport Canada,FY 2019-20,facilities,1,liquified petroleum gas,3750.683871,228.8482987
Transport Canada,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",6174.235289,433.4884893
Transport Canada,FY 2019-20,fleet,1,gasoline,18116.38082,1204.002614
Transport Canada,FY 2019-20,facilities,1,natural gas,20519.55509,1021.734421
Transport Canada,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",23810.71373,1694.944574
Transport Canada,FY 2019-20,facilities,2,electricity,89011.39872,1501.245231
Transport Canada,FY 2019-20,fleet,1,aviation fuel,126344.574,8714.491676
Transport Canada,FY 2019-20,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",512378.0677,36205.16601
Transport Canada,FY 2020-21,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",486533.852,34377.45655
Transport Canada,FY 2020-21,fleet,1,aviation fuel,118282.665,8158.425133
Transport Canada,FY 2020-21,facilities,2,electricity,105152.9428,1599.379653
Transport Canada,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",24266.7421,1727.40604
Transport Canada,FY 2020-21,facilities,1,natural gas,21631.3906,1076.148108
Transport Canada,FY 2020-21,fleet,1,gasoline,10240.81826,679.5393127
Transport Canada,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4544.088161,319.03696
Transport Canada,FY 2020-21,facilities,1,liquified petroleum gas,3948.719221,240.9314738
Transport Canada,FY 2020-21,fleet,1,fuels with renewable content,158.0103487,2.221259219
Transport Canada,FY 2020-21,fleet,1,liquified petroleum gas,25.50742137,1.55235517
